LoggerBefore,DeviceTime,Light,Setpoint,Intensity,LoggerAfter
1589810482.552989006,1589803283.014784098,0,0,0,1589810482.552989006
1589810482.552989006,1589803283.022876978,0,0,0,1589810482.552989006
1589810482.569018126,1589803283.030939102,0,0,0,1589810482.569018126
1589810482.569018126,1589803283.039088011,0,0,0,1589810482.569018126
1589810482.609125853,1589803283.047111988,0,0,0,1589810482.609125853
1589810482.609125853,1589803283.056868076,0,0,0,1589810482.609125853
1589810482.609125853,1589803283.065254927,0,0,0,1589810482.609125853
1589810482.609125853,1589803283.073234081,0,0,0,1589810482.609125853
1589810482.609125853,1589803283.081202030,0,0,0,1589810482.609125853
1589810482.609125853,1589803283.089728117,0,0,0,1589810482.609125853
1589810482.689108849,1589803283.099253893,0,0,0,1589810482.689108849
1589810482.689108849,1589803283.107681990,0,0,0,1589810482.689108849
1589810482.689108849,1589803283.115679026,0,0,0,1589810482.689108849
1589810482.689108849,1589803283.123694897,0,0,0,1589810482.689108849
1589810482.689108849,1589803283.131686926,0,0,0,1589810482.689108849
1589810482.746454239,1589803283.141263008,0,0,0,1589810482.746454239
1589810482.746454239,1589803283.151273012,0,0,0,1589810482.746454239
1589810482.746454239,1589803283.159265995,0,0,0,1589810482.746454239
1589810482.746454239,1589803283.167191982,0,0,0,1589810482.746454239
1589810482.746454239,1589803283.175132036,0,0,0,1589810482.746454239
1589810482.746454239,1589803283.183129072,0,0,0,1589810482.746454239
1589810482.746454239,1589803283.192341089,0,0,0,1589810482.746454239
1589810482.746454239,1589803283.200926065,0,0,0,1589810482.746454239
1589810482.746454239,1589803283.208955050,0,0,0,1589810482.746454239
1589810482.769425631,1589803283.217065096,0,0,0,1589810482.769425631
1589810482.769425631,1589803283.225084066,0,0,0,1589810482.769425631
1589810482.769425631,1589803283.233074903,0,0,0,1589810482.769425631
1589810482.809873104,1589803283.242714882,0,0,0,1589810482.809873104
1589810482.809873104,1589803283.251091957,0,0,0,1589810482.809873104
1589810482.809873104,1589803283.259107113,0,0,0,1589810482.809873104
1589810482.809873104,1589803283.266958952,0,0,0,1589810482.809873104
1589810482.809873104,1589803283.275207996,0,0,0,1589810482.809873104
1589810482.876873016,1589803283.284528971,0,0,0,1589810482.876873016
1589810482.876873016,1589803283.293236971,0,0,0,1589810482.876873016
1589810482.876873016,1589803283.301466942,0,0,0,1589810482.876873016
1589810482.876873016,1589803283.309602022,0,0,0,1589810482.876873016
1589810482.876873016,1589803283.317682981,0,0,0,1589810482.876873016
1589810482.876873016,1589803283.325793982,0,0,0,1589810482.876873016
1589810482.876873016,1589803283.335731983,0,0,0,1589810482.876873016
