Before,After,Value
1589810823.681099415,1589810823.774286032,100
1589810828.775049448,1589810828.872174740,0
1589810833.872547865,1589810833.983260393,100
1589810838.984242678,1589810839.090387821,0
1589810844.090753794,1589810844.194582701,100
1589810849.194602013,1589810849.289592981,0
1589810854.290011168,1589810854.393835783,100
1589810859.393890858,1589810859.501448631,0
1589810864.502124786,1589810864.602327108,100
1589810869.602789402,1589810869.712352991,0
1589810874.713021278,1589810874.816613674,100
1589810879.817470312,1589810879.914097548,0
1589810884.914407492,1589810885.023401976,100
1589810890.023887873,1589810890.118551970,0
1589810895.118949413,1589810895.221862316,100
1589810900.221952200,1589810900.318472385,0
1589810905.318777084,1589810905.421490192,100
1589810910.421684027,1589810910.520741701,0
1589810915.521182299,1589810915.624427795,100
1589810920.625177383,1589810920.723072052,0
1589810925.723524570,1589810925.815997601,100
1589810930.816417694,1589810930.919578791,0
1589810935.920511723,1589810936.016024351,100
1589810941.016536951,1589810941.125783205,0
1589810946.126587868,1589810946.223758221,100
1589810951.224657059,1589810951.324645042,0
1589810956.325598717,1589810956.421893597,100
1589810961.422833681,1589810961.526723385,0
1589810966.527522326,1589810966.627992868,100
1589810971.628273010,1589810971.732714415,0
1589810976.733112335,1589810976.826331854,100
1589810981.826609612,1589810981.922507286,0
1589810986.922684431,1589810987.016948938,100
1589810992.017783880,1589810992.138313770,0
1589810997.138832569,1589810997.247249126,100
1589811002.248110533,1589811002.350900173,0
1589811007.351387024,1589811007.446612597,100
1589811012.447161674,1589811012.557925224,0
1589811017.558784723,1589811017.654553652,100
1589811022.655241013,1589811022.755912781,0
1589811027.755938530,1589811027.856302023,100
1589811032.857274532,1589811032.965472698,0
1589811037.965841055,1589811038.064669847,100
1589811043.065022707,1589811043.164267540,0
1589811048.165254593,1589811048.261276007,100
1589811053.262076378,1589811053.362018824,0
1589811058.362198591,1589811058.445689201,100
1589811063.445896864,1589811063.552514791,0
1589811068.553266287,1589811068.652006149,100
1589811073.652611494,1589811073.755493402,0
1589811078.755937099,1589811078.864343882,100
1589811083.865200281,1589811083.966792822,0
1589811088.967085838,1589811089.061370373,100
1589811094.062189817,1589811094.158986568,0
1589811099.159243107,1589811099.254126787,100
1589811104.255011320,1589811104.352093935,0
1589811109.352510929,1589811109.461226225,100
1589811114.461515665,1589811114.554690361,0
1589811119.554731846,1589811119.658468962,100
1589811124.658591747,1589811124.751143932,0
1589811129.751396179,1589811129.850848675,100
1589811134.851259708,1589811134.950070620,0
1589811139.950971603,1589811140.051416636,100
1589811145.051462412,1589811145.147768021,0
1589811150.148004293,1589811150.261648893,100
1589811155.262187243,1589811155.361806631,0
1589811160.362014771,1589811160.462098598,100
1589811165.462901592,1589811165.555299044,0
1589811170.555788755,1589811170.660750628,100
1589811175.661529779,1589811175.755563021,0
1589811180.755597830,1589811180.851755857,100
1589811185.852222204,1589811185.952387094,0
1589811190.952655554,1589811191.049799681,100
1589811196.049945593,1589811196.150534391,0
1589811201.150643110,1589811201.245601654,100
1589811206.245736361,1589811206.348480463,0
1589811211.348846912,1589811211.449672937,100
1589811216.450661659,1589811216.547429800,0
1589811221.547536850,1589811221.649277449,100
1589811226.649323225,1589811226.751114845,0
1589811231.751837730,1589811231.860573769,100
1589811236.861044168,1589811236.960808039,0
1589811241.960938215,1589811242.062325954,100
1589811247.062327623,1589811247.162412882,0
1589811252.162843943,1589811252.254556894,100
1589811257.255476713,1589811257.350606918,0
1589811262.351073503,1589811262.440528631,100
1589811267.441132069,1589811267.545038223,0
1589811272.545624733,1589811272.638740540,100
1589811277.639380932,1589811277.741786957,0
1589811282.742533445,1589811282.843501806,100
1589811287.843516111,1589811287.941967726,0
1589811292.942832232,1589811293.044817924,100
1589811298.045681477,1589811298.138118744,0
1589811303.138759136,1589811303.233246326,100
1589811308.234143019,1589811308.333940506,0
1589811313.334518671,1589811313.432792664,100
1589811318.433175325,1589811318.523711443,0
1589811323.524294376,1589811323.617522955,100
1589811328.617582083,1589811328.711453199,0
1589811333.711832285,1589811333.803857565,100
1589811338.804783344,1589811338.907129526,0
1589811343.908428192,1589811344.006313562,100
1589811349.007122755,1589811349.100642920,0
1589811354.100821495,1589811354.206454992,100
1589811359.207984209,1589811359.300714493,0
1589811364.301488161,1589811364.400910616,100
1589811369.401259184,1589811369.492985964,0
1589811374.493032932,1589811374.586442471,100
1589811379.587075233,1589811379.687812090,0
1589811384.688517570,1589811384.798720360,100
1589811389.799490929,1589811389.895938873,0
1589811394.896585941,1589811394.998307467,100
1589811399.998363733,1589811400.090740681,0
1589811405.090873003,1589811405.190370321,100
1589811410.190410614,1589811410.290576935,0
1589811415.290678740,1589811415.395725250,100
1589811420.396085501,1589811420.496246338,0
1589811425.497205019,1589811425.595898151,100
1589811430.596097469,1589811430.689821482,0
1589811435.690376282,1589811435.792577028,100
1589811440.793012619,1589811440.894498110,0
1589811445.895170212,1589811445.995300770,100
1589811450.996168613,1589811451.101855755,0
1589811456.102963209,1589811456.200257063,100
1589811461.200978279,1589811461.297674417,0
1589811466.298083305,1589811466.397117853,100
1589811471.397643805,1589811471.494557619,0
1589811476.494668007,1589811476.588658094,100
1589811481.588711739,1589811481.688822269,0
1589811486.689710140,1589811486.795990944,100
1589811491.796597004,1589811491.897261858,0
1589811496.897912025,1589811497.001660109,100
1589811502.001977682,1589811502.099065542,0
1589811507.099066734,1589811507.196261406,100
1589811512.196532726,1589811512.292603493,0
1589811517.292932034,1589811517.388373852,100
1589811522.388520479,1589811522.484676600,0
1589811527.484807014,1589811527.584339619,100
1589811532.585388184,1589811532.682218552,0
1589811537.682704210,1589811537.784282923,100
1589811542.784622669,1589811542.892635822,0
1589811547.892781019,1589811547.991810799,100
1589811552.992168188,1589811553.096958399,0
1589811558.097481728,1589811558.197419167,100
1589811563.197695494,1589811563.298904181,0
1589811568.299403191,1589811568.396335125,100
1589811573.397785187,1589811573.492976427,0
1589811578.493494749,1589811578.590911627,100
1589811583.591156483,1589811583.699894428,0
1589811588.700655222,1589811588.802916527,100
1589811593.802968502,1589811593.904573917,0
1589811598.904819012,1589811598.997555971,100
1589811603.998044252,1589811604.095847845,0
1589811609.096930265,1589811609.194202900,100
1589811614.194481373,1589811614.300982237,0
1589811619.301971197,1589811619.404486895,100
1589811624.404973745,1589811624.504232407,0
1589811629.505062819,1589811629.607060909,100
1589811634.607332468,1589811634.703674316,0
1589811639.703993320,1589811639.800861359,100
1589811644.800953388,1589811644.900225163,0
1589811649.900274515,1589811649.996316195,100
1589811654.996454477,1589811655.095236778,0
1589811660.095930576,1589811660.197360039,100
1589811665.197494745,1589811665.291286945,0
1589811670.292002201,1589811670.408701897,100
1589811675.409732819,1589811675.499407768,0
1589811680.499643564,1589811680.605984926,100
1589811685.606814384,1589811685.713749409,0
1589811690.714047194,1589811690.809437037,100
1589811695.809850931,1589811695.910907030,0
1589811700.911140919,1589811701.014119387,100
1589811706.014742374,1589811706.114497423,0
1589811711.114931822,1589811711.218914747,100
1589811716.219034910,1589811716.322400331,0
1589811721.323346615,1589811721.416707516,100
1589811726.417285919,1589811726.504880428,0
1589811731.505868196,1589811731.605237961,100
1589811736.605805397,1589811736.706045866,0
1589811741.707017899,1589811741.808826923,100
1589811746.809313059,1589811746.913924456,0
1589811751.914877653,1589811752.016607046,100
1589811757.017524004,1589811757.117193937,0
1589811762.117834806,1589811762.218022823,100
1589811767.218858480,1589811767.319525957,0
1589811772.320480108,1589811772.423480272,100
1589811777.424444437,1589811777.525921345,0
1589811782.526063204,1589811782.627107382,100
1589811787.627323151,1589811787.734511614,0
1589811792.734981298,1589811792.836090565,100
1589811797.836493492,1589811797.940900564,0
1589811802.941005230,1589811803.042640686,100
1589811808.043249369,1589811808.148699045,0
1589811813.149306297,1589811813.252250671,100
1589811818.252288818,1589811818.355652809,0
1589811823.356129885,1589811823.459921360,100
1589811828.460723162,1589811828.559687376,0
1589811833.560266256,1589811833.658920050,100
1589811838.659901142,1589811838.764006376,0
1589811843.764914751,1589811843.864437342,100
1589811848.864868164,1589811848.954904318,0
1589811853.955580711,1589811854.047543287,100
1589811859.048453093,1589811859.142116547,0
1589811864.143078327,1589811864.237891912,100
1589811869.238695383,1589811869.336845875,0
1589811874.337534428,1589811874.435543776,100
1589811879.435697079,1589811879.530852318,0
1589811884.530916452,1589811884.623931885,100
1589811889.623986244,1589811889.727217674,0
1589811894.727287292,1589811894.820404530,100
1589811899.821226597,1589811899.921371222,0
1589811904.922252893,1589811905.020454407,100
1589811910.021292210,1589811910.115193129,0
1589811915.116142988,1589811915.220073700,100
1589811920.220746040,1589811920.320597410,0
1589811925.320651531,1589811925.422934532,100
1589811930.423008919,1589811930.517312527,0
1589811935.517478228,1589811935.611589432,100
1589811940.611706734,1589811940.715599775,0
1589811945.716330290,1589811945.813780785,100
1589811950.814054728,1589811950.910845995,0
1589811955.911335468,1589811956.008408308,100
1589811961.008653879,1589811961.114436626,0
1589811966.114749432,1589811966.210776091,100
1589811971.210904360,1589811971.313539028,0
1589811976.314131260,1589811976.414749146,100
1589811981.414980888,1589811981.516343832,0
1589811986.516448021,1589811986.616997004,100
1589811991.617735863,1589811991.710668325,0
1589811996.710801125,1589811996.810552597,100
1589812001.810657263,1589812001.912280083,0
1589812006.912312746,1589812007.015565157,100
1589812012.015862465,1589812012.109227419,0
1589812017.109443426,1589812017.211977482,100
