CommandTime,DeviceTime,ValueChanged,Value,LightChanged
1589824970.969942,1589817771.985382,1589817771.985382,100.0,1589817772.360222
1589824976.084297,1589817777.0989027,1589817777.0989027,0.0,1589817777.4356542
1589824981.1854246,1589817782.197316,1589817782.197316,100.0,1589817782.5190969
1589824986.2897475,1589817787.312722,1589817787.312722,0.0,1589817787.6007662
1589824991.3730419,1589817792.3804927,1589817792.3804927,100.0,1589817792.675802
1589824996.472036,1589817797.4988658,1589817797.4988658,0.0,1589817797.7597327
1589825001.5644846,1589817802.579004,1589817802.579004,100.0,1589817802.839723
1589825006.6627762,1589817807.677899,1589817807.677899,0.0,1589817807.9238682
1589825011.7601945,1589817812.774394,1589817812.774394,100.0,1589817813.004802
1589825016.8567374,1589817817.86576,1589817817.86576,0.0,1589817818.077773
1589825021.953447,1589817822.968181,1589817822.968181,100.0,1589817823.161996
1589825027.052951,1589817828.0678701,1589817828.0678701,0.0,1589817828.243457
1589825032.1509626,1589817833.16741,1589817833.16741,100.0,1589817833.327191
1589825037.2495499,1589817838.2617218,1589817838.2617218,0.0,1589817838.403369
1589825042.3473136,1589817843.3706522,1589817843.3706522,100.0,1589817843.481081
1589825047.447091,1589817848.457313,1589817848.457313,0.0,1589817848.565003
1589825052.5449347,1589817853.5668588,1589817853.5668588,100.0,1589817854.149815
1589825057.6416388,1589817858.6508942,1589817858.6508942,0.0,1589817859.233924
1589825062.7351532,1589817863.751343,1589817863.751343,100.0,1589817864.310618
1589825067.8299527,1589817868.8423982,1589817868.8423982,0.0,1589817869.392963
1589825072.9280102,1589817873.944648,1589817873.944648,100.0,1589817874.47802
1589825078.0275853,1589817879.034764,1589817879.034764,0.0,1589817879.5573637
1589825083.129445,1589817884.1420197,1589817884.1420197,100.0,1589817884.6456199
1589825088.2280662,1589817889.2398376,1589817889.2398376,0.0,1589817889.7245688
1589825093.335898,1589817894.348152,1589817894.348152,100.0,1589817894.810478
