CommandTime,DeviceTime,ValueChanged,Value,LightChanged
1589825195.3614798,1589817996.376616,1589825195.59525,100.0,1589825196.1105187
1589825200.464923,1589818001.49182,1589825200.6419165,0.0,1589825201.20289
1589825205.5636947,1589818006.576647,1589825205.747242,100.0,1589825206.294698
1589825210.658403,1589818011.6754668,1589825210.829692,0.0,1589825211.3527358
1589825215.763277,1589818016.7872221,1589825215.9159796,100.0,1589825216.4579215
1589825220.8668127,1589818021.8908358,1589825221.0674984,0.0,1589825221.555997
1589825225.9650483,1589818026.983693,1589825226.1129644,100.0,1589825226.5821214
1589825231.049823,1589818032.066126,1589825231.2118235,0.0,1589825231.6909645
1589825236.1449978,1589818037.158421,1589825236.358388,100.0,1589825236.8080318
1589825241.2406282,1589818042.2557797,1589825241.4569664,0.0,1589825241.8396556
1589825246.3375971,1589818047.354432,1589825246.518193,100.0,1589825246.9458253
1589825251.4297178,1589818052.4538438,1589825251.630006,0.0,1589825252.044517
1589825256.5283277,1589818057.55924,1589825256.7135923,100.0,1589825257.0572884
1589825261.6389468,1589818062.6562467,1589825261.8692017,0.0,1589825262.1570272
1589825266.7396913,1589818067.7620687,1589825266.9086905,100.0,1589825267.257938
1589825271.8344903,1589818072.85249,1589825272.0569007,0.0,1589825272.3408046
1589825276.9250202,1589818077.9431527,1589825277.124971,100.0,1589825277.4172163
1589825282.0442207,1589818083.062319,1589825282.2748327,0.0,1589825282.5298724
1589825287.1415806,1589818088.160256,1589825287.3244593,100.0,1589825287.5649676
1589825292.2428536,1589818093.254254,1589825292.460855,0.0,1589825292.6193779
1589825297.342005,1589818098.3596137,1589825297.5290737,100.0,1589825297.7314916
1589825302.4279215,1589818103.439753,1589825302.628277,0.0,1589825302.7922938
1589825307.5276346,1589818108.551757,1589825307.7276323,100.0,1589825307.9033873
1589825312.6244726,1589818113.6387167,1589825312.8442707,0.0,1589825312.9477863
1589825317.724723,1589818118.752826,1589825317.93246,100.0,1589825318.068654
1589825322.848494,1589818123.8622227,1589825323.0950236,0.0,1589825323.1660511
1589825327.9446306,1589818128.9644387,1589825328.0809252,100.0,1589825328.263453
1589825333.0435815,1589818134.063446,1589825333.1835744,0.0,1589825333.814658
1589825338.1421196,1589818139.1739821,1589825338.3419259,100.0,1589825338.899413
1589825343.246758,1589818144.272153,1589825343.4327598,0.0,1589825344.0105958
1589825348.3418007,1589818149.378072,1589825348.558505,100.0,1589825349.085563
1589825353.4300492,1589818154.464435,1589825353.595027,0.0,1589825354.1197677
1589825358.5266886,1589818159.5447059,1589825358.7142336,100.0,1589825359.2105153
1589825363.6261532,1589818164.648349,1589825363.8923411,0.0,1589825364.3031437
1589825368.7263975,1589818169.752859,1589825368.9632452,100.0,1589825369.3780057
1589825373.820602,1589818174.837423,1589825374.0418327,0.0,1589825374.4265375
1589825378.9168348,1589818179.946048,1589825379.1383758,100.0,1589825379.5222652
1589825384.0226336,1589818185.042768,1589825384.2250564,0.0,1589825384.6577091
1589825389.1258662,1589818190.152086,1589825389.3266516,100.0,1589825389.7059202
1589825394.2300298,1589818195.251833,1589825394.378841,0.0,1589825394.8056846
1589825399.3298826,1589818200.3643858,1589825399.5752172,100.0,1589825399.8947802
